,1&5,1&10,1&20,1&50,1&100,5&10,5&20,5&50,5&100,10&20,10&50,10&100,20&50,20&100,50&100
BTC,0.098,0.078,0.17,0.279,-0.008,0.203,0.251,0.34,0.129,0.205,0.353,0.301,0.395,-0.274,-0.42
ETH,0.149,0.207,0.241,0.278,-0.086,0.319,0.287,0.412,0.269,0.303,0.473,0.083,0.461,-0.091,0.487
BNB,0.167,0.15,0.188,0.219,0.283,0.184,0.259,0.364,0.501,0.254,0.464,-0.233,0.513,0.1,-0.758
ADA,0.18,0.23,0.223,0.27,0.412,0.232,0.247,0.387,0.58,0.257,0.414,0.576,0.505,0.558,0.501
